diameter,weight,red,green,blue,name
0,0,56,50,0,1
1,1,50,43,1,1
2,2,40,46,0,1
3,3,47,46,2,1
4,4,45,37,7,1
5,5,26,65,0,1
6,6,40,50,0,1
7,7,26,39,0,1
8,8,43,55,14,1
9,9,45,41,4,1
10,10,32,53,0,1
11,11,50,34,0,1
12,12,50,63,11,1
13,13,50,51,4,1
14,14,54,47,0,1
15,15,46,52,10,1
16,16,50,43,3,1
17,17,35,44,0,1
18,18,52,44,20,1
19,19,63,38,0,1
19,20,46,44,0,1
20,21,40,59,0,1
21,22,53,51,0,1
22,23,30,49,0,1
23,24,38,52,4,1
24,25,52,47,0,1
25,26,46,44,0,1
25,27,45,40,8,1
26,28,37,55,0,1
26,29,41,50,13,1
27,30,39,59,4,1
28,31,39,58,0,1
29,32,55,47,0,1
29,33,43,49,11,1
29,34,46,58,0,1
30,35,29,47,0,1
31,35,57,40,1,1
32,36,42,62,0,1
33,37,48,51,2,1
34,38,62,57,5,1
34,39,61,41,0,1
34,40,55,40,21,1
35,41,47,58,6,1
36,42,32,46,0,1
37,43,41,63,0,1
38,44,29,40,16,1
39,45,46,55,0,1
39,46,54,47,9,1
40,47,49,32,6,1
40,48,30,37,0,1
40,49,51,53,2,1
40,50,12,52,2,1
41,51,61,45,0,1
42,51,34,63,3,1
42,52,49,53,5,1
42,53,41,47,1,1
43,54,24,30,3,1
44,55,53,41,1,1
44,56,34,52,0,1
45,57,29,46,7,1
45,58,43,48,0,1
46,59,44,38,1,1
47,60,52,40,17,1
48,61,51,39,0,1
48,62,55,37,0,1
49,63,49,49,0,1
49,64,42,34,6,1
49,65,51,69,0,1
50,66,45,39,0,1
51,67,22,43,12,1
51,68,39,35,0,1
51,69,42,72,1,1
51,70,38,63,8,1
52,71,47,51,1,1
52,72,48,59,0,1
53,73,49,43,0,1
53,74,34,50,4,1
54,75,21,41,7,1
55,76,48,46,6,1
56,77,52,43,0,1
56,78,35,47,0,1
56,79,38,27,18,1
56,80,40,56,0,1
57,81,48,60,0,1
57,82,25,50,0,1
58,83,53,31,0,1
58,84,47,54,16,1
58,85,39,52,0,1
58,86,35,51,0,1
58,87,40,33,2,1
59,88,33,33,0,1
60,88,52,59,28,1
60,89,30,43,6,1
61,90,34,60,0,1
61,91,26,66,7,1
61,92,47,41,0,1
62,93,34,55,0,1
62,94,28,38,0,1
63,95,23,70,0,1
63,96,49,33,0,1
63,97,26,58,0,1
63,98,49,52,13,1
63,99,27,57,0,1
64,100,45,63,9,1
65,101,57,40,10,1
66,101,36,49,15,1
66,102,44,52,0,1
66,102,45,58,1,1
67,103,42,35,7,1
68,104,22,35,7,1
68,105,31,39,0,1
69,106,52,42,7,1
69,107,44,48,0,1
70,108,38,38,20,1
71,109,37,39,3,1
72,110,47,37,25,1
72,111,37,49,0,1
73,112,55,56,0,1
74,113,39,58,0,1
75,113,40,74,0,1
75,114,28,47,12,1
76,114,41,57,12,1
76,115,64,45,0,1
76,116,53,34,5,1
77,117,38,43,0,1
78,118,33,47,4,1
79,119,40,49,0,1
79,120,47,51,0,1
80,121,41,62,3,1
80,122,27,50,16,1
80,123,50,46,9,1
81,124,47,32,17,1
81,125,47,53,13,1
81,126,37,43,0,1
82,127,53,37,0,1
82,128,38,34,2,1
83,129,44,35,6,1
84,129,35,56,0,1
84,130,42,38,0,1
84,131,33,42,25,1
85,131,35,41,4,1
85,132,40,64,0,1
85,133,24,58,0,1
85,134,44,42,2,1
85,134,34,50,0,1
86,135,51,66,6,1
86,136,40,54,0,1
87,137,54,48,11,1
87,138,48,48,0,1
87,139,26,58,8,1
87,140,39,53,16,1
88,141,36,38,2,1
88,142,27,43,5,1
89,143,49,62,0,1
90,144,45,58,10,1
90,144,51,43,1,1
91,145,44,42,0,1
91,145,35,37,15,1
92,146,52,39,0,1
92,147,51,51,0,1
92,148,31,44,7,1
92,149,46,44,0,1
92,150,47,40,15,1
93,151,58,50,6,1
94,152,57,54,6,1
94,153,49,43,15,1
94,154,43,69,8,1
94,155,42,32,3,1
94,156,35,46,0,1
94,157,43,62,0,1
95,158,38,55,10,1
96,159,35,37,19,1
96,160,60,52,13,1
96,161,47,54,0,1
96,162,57,60,0,1
96,163,33,38,19,1
96,164,62,40,4,1
96,165,44,44,15,1
96,166,34,43,0,1
97,167,44,18,5,1
97,168,28,54,0,1
97,169,46,54,1,1
97,170,43,54,0,1
98,171,22,44,8,1
98,172,34,42,2,1
98,173,44,32,0,1
99,174,46,49,0,1
99,175,38,24,2,1
100,176,36,50,12,1
100,177,50,54,3,1
100,178,30,44,0,1
101,179,26,33,11,1
101,180,44,34,2,1
102,181,50,61,0,1
102,182,56,50,14,1
